id1 id2 k_ibd1 k_ibd2 n predicted_degree most_probable probability
HMB001 HMB035 0.9759 0.0228 23.0 PO PO 1.0
HMB001 HMB093 0.9897 0.0103 22.0 PO PO 1.0
HMB001 HMB656 0.9787 0.0196 22.0 PO PO 1.0
HMB001 HMB2101 0.4089 0.0055 48.0 3rd 3rd 0.7748240242193898
HMB001 HMB2102 0.4765 0.0035 36.0 2nd GP 0.9377524784685434
HMB001 HMB2978 0.6743 0.006 30.0 2nd 2nd 0.9999999917007002
HMB001 HMB3009 0.4855 0.0044 51.0 2nd MGP 0.8647140285510126
HMB001 HMB3033 0.4511 0.0111 39.0 2nd PHS 0.9647644588908925
HMB001 HMB3128 0.5076 0.012 43.0 2nd 2nd 0.9999227349302896
HMB001 HMB5042 0.5597 0.0032 37.0 2nd GP 0.9441616718282645
HMB003 HMB005 0.97 0.0243 22.0 PO PO 1.0
HMB003 HMB013 0.9803 0.0173 23.0 PO PO 1.0
HMB003 HMB699 0.9798 0.0168 22.0 PO PO 1.0
HMB003 HMB1037 0.9764 0.0181 22.0 PO PO 1.0
HMB003 HMB1051 0.9778 0.0165 22.0 PO PO 1.0
HMB003 HMB3070 0.9649 0.0278 23.0 PO PO 1.0
HMB003 HMB3097 0.9749 0.0209 23.0 PO PO 1.0
HMB004 HMB005 0.962 0.0366 23.0 PO PO 1.0
HMB004 HMB006 0.9779 0.0211 23.0 PO PO 1.0
HMB004 HMB008 0.9794 0.0186 22.0 PO PO 1.0
HMB004 HMB672 0.9802 0.0191 22.0 PO PO 1.0
HMB004 HMB699 0.969 0.0282 22.0 PO PO 1.0
HMB004 HMB856 0.5086 0.0032 69.0 2nd MHS 0.9841971271165867
HMB004 HMB981 0.9838 0.0151 23.0 PO PO 1.0
HMB004 HMB2970 0.5057 0.018 59.0 2nd HS 0.9998897621933266
HMB004 HMB5042 0.9851 0.0142 26.0 PO PO 1.0
HMB005 HMB006 0.5254 0.0102 75.0 2nd MHS 0.9369583008017796
HMB005 HMB008 0.5531 0.0134 53.0 2nd MGP 0.8482985172612717
HMB005 HMB013 0.5922 0.0177 54.0 2nd HS 0.9999359637368652
HMB005 HMB672 0.6148 0.0106 68.0 2nd MHS 0.9808203694387012
HMB005 HMB699 0.4282 0.3466 47.0 FS FS 1.0
HMB005 HMB856 0.3104 0.0048 64.0 3rd 3rd 0.9767287312539746
HMB005 HMB981 0.4701 0.0015 69.0 2nd MHS 0.9763348499524365
HMB005 HMB1037 0.5585 0.0072 57.0 2nd HS 0.9998853328224201
HMB005 HMB1051 0.5372 0.0085 54.0 2nd HS 0.9984180574419218
HMB005 HMB2970 0.3241 0.0024 67.0 3rd 3rd 0.988321147646056
HMB005 HMB3070 0.6563 0.0099 52.0 2nd PHS 0.8135195298857966
HMB005 HMB3097 0.3755 0.0091 59.0 3rd 3rd 0.9904804826953778
HMB005 HMB5042 0.5794 0.0109 76.0 2nd 2nd 0.9999999572595037
HMB006 HMB008 0.5106 0.0104 52.0 2nd MGP 0.8773305685932926
HMB006 HMB168 0.9726 0.0259 22.0 PO PO 1.0
HMB006 HMB672 0.5292 0.0027 69.0 2nd MHS 0.9876661258494411
HMB006 HMB699 0.5173 0.0122 74.0 2nd MHS 0.9979349050392784
HMB006 HMB856 0.2892 0.0023 55.0 3rd 3rd 0.9273818056322682
HMB006 HMB981 0.5818 0.0111 71.0 2nd MHS 0.9951538324223632
HMB006 HMB2970 0.2544 0.0021 51.0 3rd 3rd 0.6586144931958274
HMB006 HMB5042 0.5577 0.0075 70.0 2nd AV 0.9990443028019107
HMB007 HMB014 0.9854 0.0133 22.0 PO PO 1.0
HMB007 HMB017 0.549 0.0074 47.0 2nd GP 0.9056314362301208
HMB007 HMB022 0.9766 0.0229 22.0 PO PO 1.0
HMB007 HMB050 0.9596 0.0365 22.0 PO PO 1.0
HMB007 HMB098 0.5064 0.0115 42.0 2nd GP 0.9517194446064906
HMB007 HMB308 0.9891 0.0091 22.0 PO PO 1.0
HMB007 HMB355 0.4954 0.0082 46.0 2nd GP 0.9877635405627293
HMB007 HMB869 0.2163 0.0024 51.0 4th 4th 0.8027655318243073
HMB007 HMB972 0.9875 0.01 22.0 PO PO 1.0
HMB007 HMB975 0.99 0.0081 22.0 PO PO 1.0
HMB007 HMB1017 0.1831 0.0039 41.0 4th 4th 0.9600443502692232
HMB007 HMB1019 0.2125 0.0041 50.0 4th 4th 0.8294797788952663
HMB007 HMB2274 0.5486 0.0 42.0 2nd 2nd 0.9999987132831251
HMB007 HMB2901 0.2549 0.0014 43.0 3rd 3rd 0.662131569056564
HMB007 HMB2902 0.2655 0.0 38.0 3rd 3rd 0.7728826402215199
HMB007 HMB2983 0.4606 0.0031 42.0 2nd PHS 0.9674739733384962
HMB007 HMB2984 0.5058 0.0079 31.0 2nd PGP 0.8623744663838034
HMB007 HMB2985 0.5453 0.0 45.0 2nd GP 0.9726586672071555
HMB007 HMB3110 0.9725 0.0249 23.0 PO PO 1.0
HMB007 HMB5058 0.3912 0.0034 48.0 3rd 3rd 0.9597522216908543
HMB007 HMB5275 0.2325 0.0 47.0 4th 4th 0.6374982237614046
HMB008 HMB672 0.4618 0.0084 47.0 2nd GP 0.986258010761118
HMB008 HMB699 0.5895 0.0056 52.0 2nd MGP 0.874184882136452
HMB008 HMB856 0.9794 0.0178 23.0 PO PO 1.0
HMB008 HMB981 0.4739 0.0162 58.0 2nd GPAV 0.9974203911348066
HMB008 HMB2970 0.9747 0.0226 22.0 PO PO 1.0
HMB008 HMB5042 0.5831 0.0124 65.0 2nd 2nd 0.9999999655293411
HMB009 HMB010 0.9972 0.0027 24.0 PO PO 1.0
HMB009 HMB013 0.9888 0.0098 22.0 PO PO 1.0
HMB009 HMB095 0.9805 0.0189 23.0 PO PO 1.0
HMB009 HMB096 0.2504 0.0048 53.0 3rd 3rd 0.618770156301176
HMB009 HMB097 0.2894 0.0 73.0 3rd 3rd 0.9255631195054747
HMB009 HMB102 0.3181 0.0039 63.0 3rd 3rd 0.9843111004799969
HMB009 HMB312 0.5033 0.0101 72.0 2nd MHS 0.9955747384283755
HMB009 HMB318 0.4772 0.0148 70.0 2nd MHS 0.9881438585595027
HMB009 HMB330 0.3094 0.0069 66.0 3rd 3rd 0.976270478989995
HMB009 HMB340 0.2902 0.0014 63.0 3rd 3rd 0.9299990857916988
HMB009 HMB387 0.4825 0.0031 67.0 2nd MHS 0.962232379706419
HMB009 HMB419 0.3059 0.0043 61.0 3rd 3rd 0.9702593675196672
HMB009 HMB2180 0.2516 0.0 56.0 3rd 3rd 0.6156287429729109
HMB009 HMB2181 0.2589 0.0057 53.0 3rd 3rd 0.7230963238667988
HMB009 HMB2196 0.5145 0.0059 50.0 2nd PHS 0.9535023574239193
HMB009 HMB2982 0.6664 0.0017 39.0 2nd PHS 0.9986125838297215
HMB009 HMB2987 0.5249 0.0081 40.0 2nd PHS 0.9987375378005654
HMB009 HMB2990 0.5004 0.0066 44.0 2nd PHS 0.9945948211568519
HMB009 HMB2991 0.9819 0.0144 23.0 PO PO 1.0
HMB009 HMB3047 0.2562 0.0014 48.0 3rd 3rd 0.6777150110449092
HMB009 HMB3048 0.3192 0.0 52.0 3rd 3rd 0.9842496794522325
HMB009 HMB5087 0.9926 0.0059 22.0 PO PO 1.0
HMB010 HMB013 0.4969 0.0178 76.0 2nd MHS 0.9761686147481069
HMB010 HMB095 0.5908 0.0046 50.0 2nd MGP 0.8886282878162632
HMB010 HMB097 0.1765 0.0049 49.0 4th 4th 0.9712716423614095
HMB010 HMB102 0.2167 0.0073 50.0 4th 4th 0.7861700179744595
HMB010 HMB312 0.3059 0.0 60.0 3rd 3rd 0.9681673674109835
HMB010 HMB318 0.3201 0.0 57.0 3rd 3rd 0.9849859617584624
HMB010 HMB330 0.2048 0.0024 52.0 4th 4th 0.883620649729044
HMB010 HMB340 0.2024 0.0028 47.0 4th 4th 0.8957402709637244
HMB010 HMB387 0.3106 0.0018 62.0 3rd 3rd 0.975847866772923
HMB010 HMB419 0.2135 0.0 53.0 4th 4th 0.8312704319968592
HMB010 HMB2196 0.2185 0.0025 48.0 4th 4th 0.78291890425
HMB010 HMB2982 0.2634 0.0066 39.0 3rd 3rd 0.7718070268856181
HMB010 HMB2987 0.2485 0.0 38.0 3rd 3rd 0.5751660633983207
HMB010 HMB2990 0.2258 0.0038 39.0 4th 4th 0.7038599933414484
HMB010 HMB2991 0.453 0.0044 43.0 2nd 2nd 0.9692639252660381
HMB010 HMB5087 0.5559 0.0013 60.0 2nd HS 0.9890288609417188
HMB012 HMB856 0.9817 0.016 22.0 PO PO 1.0
HMB012 HMB2970 0.9802 0.0181 22.0 PO PO 1.0
HMB013 HMB095 0.5168 0.0111 51.0 2nd MGP 0.885265325062676
HMB013 HMB102 0.2216 0.0 60.0 4th 4th 0.7605131271234905
HMB013 HMB312 0.2716 0.0022 66.0 3rd 3rd 0.830799024693265
HMB013 HMB318 0.2784 0.0047 64.0 3rd 3rd 0.880879664986189
HMB013 HMB330 0.2339 0.0013 57.0 4th 4th 0.6147671022436608
HMB013 HMB387 0.2446 0.0041 49.0 3rd 3rd 0.539527853571503
HMB013 HMB419 0.1813 0.004 48.0 4th 4th 0.9635670593110774
HMB013 HMB699 0.6038 0.0114 53.0 2nd PHS 0.8112980646733249
HMB013 HMB1037 0.5769 0.0156 59.0 2nd HS 0.9995379298718915
HMB013 HMB1051 0.6013 0.0043 57.0 2nd HS 0.9999785460486892
HMB013 HMB2196 0.3177 0.0177 53.0 3rd 3rd 0.9870771011150222
HMB013 HMB2982 0.4023 0.006 50.0 3rd 3rd 0.8730637252420027
HMB013 HMB2987 0.3224 0.0055 50.0 3rd 3rd 0.987834172394661
HMB013 HMB2990 0.2494 0.0022 53.0 3rd 3rd 0.5957217335401093
HMB013 HMB2991 0.5288 0.0115 50.0 2nd MGP 0.8799917983408696
HMB013 HMB3047 0.1878 0.0 51.0 4th 4th 0.9520314343397632
HMB013 HMB3048 0.2251 0.0012 49.0 4th 4th 0.720338927566078
HMB013 HMB3070 0.5432 0.0181 56.0 2nd HS 0.999979917483922
HMB013 HMB3097 0.5377 0.0133 52.0 2nd PHS 0.8883846415868872
HMB013 HMB5087 0.6325 0.002 59.0 2nd HS 0.9999985350888199
HMB014 HMB017 0.5144 0.0013 60.0 2nd GPAV 0.9998043210218255
HMB014 HMB020 0.9851 0.0134 23.0 PO PO 1.0
HMB014 HMB022 0.5207 0.23 55.0 FS FS 1.0
HMB014 HMB050 0.4729 0.0095 43.0 2nd PHS 0.9935803476543227
HMB014 HMB098 0.529 0.0057 64.0 2nd AV 0.9723579182770159
HMB014 HMB308 0.5573 0.177 59.0 FS FS 0.9999999808959624
HMB014 HMB355 0.4747 0.0105 69.0 2nd AV 0.9949294978856106
HMB014 HMB446 0.5365 0.0051 62.0 2nd MHS 0.8422949108776132
HMB014 HMB499 0.2924 0.0 53.0 3rd 3rd 0.9360218521746206
HMB014 HMB972 0.5537 0.2069 56.0 FS FS 1.0
HMB014 HMB975 0.5384 0.2263 52.0 FS FS 1.0
HMB014 HMB1028 0.2066 0.0011 44.0 4th 4th 0.8755341583666145
HMB014 HMB1033 0.3241 0.0035 51.0 3rd 3rd 0.988524705679825
HMB014 HMB2274 0.3983 0.0 59.0 3rd 3rd 0.9241351204539947
HMB014 HMB2925 0.3215 0.0 53.0 3rd 3rd 0.9860636821546439
HMB014 HMB2983 0.2512 0.0 42.0 3rd 3rd 0.6104842344977145
HMB014 HMB2984 0.2638 0.0019 34.0 3rd 3rd 0.7619693194856374
HMB014 HMB2985 0.2491 0.0041 41.0 3rd 3rd 0.5992692950835493
HMB014 HMB3110 0.5636 0.013 53.0 2nd PHS 0.8403129165376102
HMB014 HMB5058 0.1934 0.0026 53.0 4th 4th 0.9335155352173619
HMB015 HMB119 0.9813 0.0179 22.0 PO PO 1.0
